occ_code,occ_title,match_status,imputed_from,dv_beta_imputed,exposure_residual
21-1013,Marriage and Family Therapists,direct,,0.1111,0
21-1015,Rehabilitation Counselors,direct,,0.3548,0
21-1021,"Child, Family, and School Social Workers",direct,,0.2429,0
21-1022,Healthcare Social Workers,direct,,0.3438,0
21-1023,Mental Health and Substance Abuse Social Workers,direct,,0.2708,0
21-1091,Health Education Specialists,direct,,0.5323,0
21-1092,Probation Officers and Correctional Treatment Specialists,direct,,0.3947,0
21-1093,Social and Human Service Assistants,direct,,0.3929,0
21-1094,Community Health Workers,direct,,0.3194,0
21-2011,Clergy,direct,,0.3333,0
21-2021,"Directors, Religious Activities and Education",direct,,0.4394,0
23-1011,Lawyers,direct,,0.425,0
23-1012,Judicial Law Clerks,direct,,0.5172,0
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",direct,,0.5,0
23-1022,"Arbitrators, Mediators, and Conciliators",direct,,0.5,0
23-1023,"Judges, Magistrate Judges, and Magistrates",direct,,0.4167,0
23-2011,Paralegals and Legal Assistants,direct,,0.525,0
23-2093,"Title Examiners, Abstractors, and Searchers",direct,,0.5714,0
25-1011,"Business Teachers, Postsecondary",direct,,0.4886,0
25-1021,"Computer Science Teachers, Postsecondary",direct,,0.5119,0
25-1022,"Mathematical Science Teachers, Postsecondary",direct,,0.5405,0
25-1031,"Architecture Teachers, Postsecondary",direct,,0.4878,0
25-1032,"Engineering Teachers, Postsecondary",direct,,0.5,0
25-1041,"Agricultural Sciences Teachers, Postsecondary",direct,,0.5,0
25-1042,"Biological Science Teachers, Postsecondary",direct,,0.4694,0
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",direct,,0.4783,0
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",direct,,0.475,0
25-1052,"Chemistry Teachers, Postsecondary",direct,,0.4314,0
25-1053,"Environmental Science Teachers, Postsecondary",direct,,0.5217,0
25-1054,"Physics Teachers, Postsecondary",direct,,0.4186,0
25-1061,"Anthropology and Archeology Teachers, Postsecondary",direct,,0.5204,0
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",direct,,0.5,0
25-1063,"Economics Teachers, Postsecondary",direct,,0.4756,0
25-1064,"Geography Teachers, Postsecondary",direct,,0.4773,0
25-1065,"Political Science Teachers, Postsecondary",direct,,0.4756,0
25-1066,"Psychology Teachers, Postsecondary",direct,,0.48,0
25-1067,"Sociology Teachers, Postsecondary",direct,,0.4318,0
25-1071,"Health Specialties Teachers, Postsecondary",direct,,0.475,0
25-1072,"Nursing Instructors and Teachers, Postsecondary",direct,,0.402,0
25-1081,"Education Teachers, Postsecondary",direct,,0.4881,0
25-1082,"Library Science Teachers, Postsecondary",direct,,0.5106,0
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",direct,,0.5,0
25-1112,"Law Teachers, Postsecondary",direct,,0.45,0
25-1113,"Social Work Teachers, Postsecondary",direct,,0.4205,0
25-1121,"Art, Drama, and Music Teachers, Postsecondary",direct,,0.4375,0
25-1122,"Communications Teachers, Postsecondary",direct,,0.425,0
25-1123,"English Language and Literature Teachers, Postsecondary",direct,,0.5268,0
25-1124,"Foreign Language and Literature Teachers, Postsecondary",direct,,0.5333,0
25-1125,"History Teachers, Postsecondary",direct,,0.5111,0
25-1126,"Philosophy and Religion Teachers, Postsecondary",direct,,0.5114,0
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",direct,,0.5375,0
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",direct,,0.5581,0
25-1194,"Career/Technical Education Teachers, Postsecondary",direct,,0.4872,0
25-2011,"Preschool Teachers, Except Special Education",direct,,0.2273,1
25-2012,"Kindergarten Teachers, Except Special Education",direct,,0.2329,1
25-2021,"Elementary School Teachers, Except Special Education",direct,,0.3108,1
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",direct,,0.3478,1
25-2023,"Career/Technical Education Teachers, Middle School",direct,,0.3226,0
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",direct,,0.3333,1
25-2032,"Career/Technical Education Teachers, Secondary School",direct,,0.3333,0
25-2051,"Special Education Teachers, Preschool",direct,,0.2,0
25-2057,"Special Education Teachers, Middle School",direct,,0.3052,0
25-2058,"Special Education Teachers, Secondary School",direct,,0.3013,0
25-2059,"Special Education Teachers, All Other",direct,,0.475,1
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",direct,,0.4044,0
25-3021,Self-Enrichment Teachers,direct,,0.36,0
25-3031,"Substitute Teachers, Short-Term",direct,,0.3611,0
25-3041,Tutors,direct,,0.5429,0
25-4011,Archivists,direct,,0.5,0
25-4012,Curators,direct,,0.5,0
25-4013,Museum Technicians and Conservators,direct,,0.2368,0
25-4022,Librarians and Media Collections Specialists,direct,,0.5351,0
25-4031,Library Technicians,direct,,0.5673,0
25-9021,Farm and Home Management Educators,direct,,0.3704,0
25-9031,Instructional Coordinators,direct,,0.4875,0
25-9044,"Teaching Assistants, Postsecondary",direct,,0.5303,0
27-1011,Art Directors,direct,,0.5,0
27-1012,Craft Artists,direct,,0.2586,0
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",direct,,0.425,0
27-1014,Special Effects Artists and Animators,direct,,0.525,0
27-1021,Commercial and Industrial Designers,direct,,0.4655,0
27-1022,Fashion Designers,direct,,0.3906,0
27-1023,Floral Designers,direct,,0.2,0
27-1024,Graphic Designers,direct,,0.5,0
27-1025,Interior Designers,direct,,0.5,0
