occ_code,occ_title,match_status,imputed_from,dv_beta_imputed,exposure_residual
29-1029,"Dentists, All Other Specialists",sibling_imputed,"['29-1011', '29-1021', '29-1022', '29-1023', '29-1024', '29-1031', '29-1041', '29-1051', '29-1071', '29-1081']",0.2924,1
29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",sibling_imputed,"['29-1211', '29-1212', '29-1213', '29-1214', '29-1215', '29-1216', '29-1217', '29-1218', '29-1221', '29-1222', '29-1223', '29-1224', '29-1229', '29-1241', '29-1242', '29-1243', '29-1291', '29-1292', '29-1299']",0.3933,1
29-1248,"Surgeons, Except Ophthalmologists",sibling_imputed,"['29-1211', '29-1212', '29-1213', '29-1214', '29-1215', '29-1216', '29-1217', '29-1218', '29-1221', '29-1222', '29-1223', '29-1224', '29-1229', '29-1241', '29-1242', '29-1243', '29-1291', '29-1292', '29-1299']",0.3933,1
29-1249,"Surgeons, All Other",sibling_imputed,"['29-1211', '29-1212', '29-1213', '29-1214', '29-1215', '29-1216', '29-1217', '29-1218', '29-1221', '29-1222', '29-1223', '29-1224', '29-1229', '29-1241', '29-1242', '29-1243', '29-1291', '29-1292', '29-1299']",0.3933,1
29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",sibling_imputed,"['29-1211', '29-1212', '29-1213', '29-1214', '29-1215', '29-1216', '29-1217', '29-1218', '29-1221', '29-1222', '29-1223', '29-1224', '29-1229', '29-1241', '29-1242', '29-1243', '29-1291', '29-1292', '29-1299']",0.3933,1
29-2010,Clinical Laboratory Technologists and Technicians,sibling_imputed,"['29-2011', '29-2012', '29-2031', '29-2032', '29-2033', '29-2034', '29-2035', '29-2036', '29-2042', '29-2043', '29-2051', '29-2052', '29-2053', '29-2055', '29-2056', '29-2057', '29-2061', '29-2072', '29-2081', '29-2091', '29-2092', '29-2099']",0.3027,0
29-2040,Emergency Medical Technicians and Paramedics,sibling_imputed,"['29-2011', '29-2012', '29-2031', '29-2032', '29-2033', '29-2034', '29-2035', '29-2036', '29-2042', '29-2043', '29-2051', '29-2052', '29-2053', '29-2055', '29-2056', '29-2057', '29-2061', '29-2072', '29-2081', '29-2091', '29-2092', '29-2099']",0.3027,0
29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",sibling_imputed,"['29-2011', '29-2012', '29-2031', '29-2032', '29-2033', '29-2034', '29-2035', '29-2036', '29-2042', '29-2043', '29-2051', '29-2052', '29-2053', '29-2055', '29-2056', '29-2057', '29-2061', '29-2072', '29-2081', '29-2091', '29-2092', '29-2099']",0.3027,1
29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",sibling_imputed,"['29-9021', '29-9091', '29-9092', '29-9093', '29-9099']",0.3706,1
31-1120,Home Health and Personal Care Aides,sibling_imputed,"['31-1121', '31-1122', '31-1131', '31-1132', '31-1133']",0.1052,0
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",sibling_imputed,"['33-1011', '33-1012', '33-1021', '33-1091']",0.3579,1
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",sibling_imputed,"['33-1011', '33-1012', '33-1021', '33-1091']",0.3579,1
33-9098,"School Bus Monitors and Protective Service Workers, All Other",sibling_imputed,"['33-9011', '33-9021', '33-9031', '33-9032', '33-9091', '33-9092', '33-9093', '33-9094', '33-9099']",0.2592,1
35-2019,"Cooks, All Other",sibling_imputed,"['35-2011', '35-2012', '35-2013', '35-2014', '35-2015', '35-2021']",0.0821,1
35-9099,"Food Preparation and Serving Related Workers, All Other",sibling_imputed,"['35-9011', '35-9021', '35-9031']",0.0762,1
37-2019,"Building Cleaning Workers, All Other",sibling_imputed,"['37-2011', '37-2012', '37-2021']",0.0833,1
37-3019,"Grounds Maintenance Workers, All Other",sibling_imputed,"['37-3011', '37-3012', '37-3013']",0.047,1
39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",sibling_imputed,"['39-1013', '39-1014', '39-1022']",0.405,1
39-3019,"Gambling Service Workers, All Other",sibling_imputed,"['39-3011', '39-3012', '39-3021', '39-3031', '39-3091', '39-3092', '39-3093']",0.1813,1
39-3099,"Entertainment Attendants and Related Workers, All Other",sibling_imputed,"['39-3011', '39-3012', '39-3021', '39-3031', '39-3091', '39-3092', '39-3093']",0.1813,1
39-7010,Tour and Travel Guides,sibling_imputed,"['39-7011', '39-7012']",0.3246,0
39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",sibling_imputed,"['39-9011', '39-9031', '39-9032', '39-9041']",0.1586,1
39-9099,"Personal Care and Service Workers, All Other",sibling_imputed,"['39-9011', '39-9031', '39-9032', '39-9041']",0.1586,1
41-9099,"Sales and Related Workers, All Other",sibling_imputed,"['41-9011', '41-9012', '41-9021', '41-9022', '41-9031', '41-9041', '41-9091']",0.411,1
43-2099,"Communications Equipment Operators, All Other",sibling_imputed,"['43-2011', '43-2021']",0.7619,1
43-3099,"Financial Clerks, All Other",sibling_imputed,"['43-3011', '43-3021', '43-3031', '43-3041', '43-3051', '43-3061', '43-3071']",0.6694,1
43-4199,"Information and Record Clerks, All Other",sibling_imputed,"['43-4111', '43-4121', '43-4131', '43-4141', '43-4151', '43-4161', '43-4171', '43-4181']",0.5858,1
43-9199,"Office and Administrative Support Workers, All Other",sibling_imputed,['43-9111'],0.8913,1
45-2099,"Agricultural Workers, All Other",sibling_imputed,"['45-2011', '45-2021', '45-2041', '45-2091', '45-2092', '45-2093']",0.1273,1
45-4029,"Logging Workers, All Other",sibling_imputed,"['45-4011', '45-4021', '45-4022', '45-4023']",0.1182,1
47-3019,"Helpers, Construction Trades, All Other",sibling_imputed,"['47-3011', '47-3012', '47-3013', '47-3014', '47-3015', '47-3016']",0.0041,1
47-4090,Miscellaneous Construction and Related Workers,sibling_imputed,"['47-4011', '47-4021', '47-4031', '47-4041', '47-4051', '47-4061', '47-4071', '47-4091', '47-4099']",0.1096,1
47-5049,"Underground Mining Machine Operators, All Other",sibling_imputed,"['47-5011', '47-5012', '47-5013', '47-5022', '47-5023', '47-5032', '47-5041', '47-5043', '47-5044', '47-5051', '47-5071', '47-5081']",0.0408,1
47-5097,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",sibling_imputed,"['47-5011', '47-5012', '47-5013', '47-5022', '47-5023', '47-5032', '47-5041', '47-5043', '47-5044', '47-5051', '47-5071', '47-5081']",0.0408,1
47-5098,"Underground Mining Machine Operators and Extraction Workers, All Other",sibling_imputed,"['47-5011', '47-5012', '47-5013', '47-5022', '47-5023', '47-5032', '47-5041', '47-5043', '47-5044', '47-5051', '47-5071', '47-5081']",0.0408,1
47-5099,"Extraction Workers, All Other",sibling_imputed,"['47-5011', '47-5012', '47-5013', '47-5022', '47-5023', '47-5032', '47-5041', '47-5043', '47-5044', '47-5051', '47-5071', '47-5081']",0.0408,1
49-9069,"Precision Instrument and Equipment Repairers, All Other",sibling_imputed,"['49-9011', '49-9012', '49-9021', '49-9031', '49-9041', '49-9043', '49-9044', '49-9045', '49-9051', '49-9052', '49-9061', '49-9062', '49-9063', '49-9064', '49-9071', '49-9081', '49-9091', '49-9092', '49-9094', '49-9095', '49-9096', '49-9097', '49-9098', '49-9099']",0.1165,1
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",sibling_imputed,"['51-2011', '51-2021', '51-2022', '51-2023', '51-2031', '51-2041', '51-2051', '51-2061', '51-2092']",0.0914,1
51-2090,Miscellaneous Assemblers and Fabricators,sibling_imputed,"['51-2011', '51-2021', '51-2022', '51-2023', '51-2031', '51-2041', '51-2051', '51-2061', '51-2092']",0.0914,1
51-3099,"Food Processing Workers, All Other",sibling_imputed,"['51-3011', '51-3021', '51-3022', '51-3023', '51-3091', '51-3092', '51-3093']",0.1011,1
51-4199,"Metal Workers and Plastic Workers, All Other",sibling_imputed,"['51-4111', '51-4121', '51-4122', '51-4191', '51-4192', '51-4193', '51-4194']",0.1126,1
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",sibling_imputed,"['51-6011', '51-6021', '51-6031', '51-6041', '51-6042', '51-6051', '51-6052', '51-6061', '51-6062', '51-6063', '51-6064', '51-6091', '51-6092', '51-6093']",0.1221,1
51-7099,"Woodworkers, All Other",sibling_imputed,"['51-7011', '51-7021', '51-7031', '51-7032', '51-7041', '51-7042']",0.1134,1
51-9199,"Production Workers, All Other",sibling_imputed,"['51-9111', '51-9123', '51-9124', '51-9141', '51-9151', '51-9161', '51-9162', '51-9191', '51-9192', '51-9193', '51-9194', '51-9195', '51-9196', '51-9197', '51-9198']",0.1518,1
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",sibling_imputed,"['53-1041', '53-1042', '53-1043', '53-1044']",0.3155,1
53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",sibling_imputed,"['53-3011', '53-3031', '53-3032', '53-3033', '53-3051', '53-3052', '53-3053', '53-3054']",0.2705,1
53-3099,"Motor Vehicle Operators, All Other",sibling_imputed,"['53-3011', '53-3031', '53-3032', '53-3033', '53-3051', '53-3052', '53-3053', '53-3054']",0.2705,1
53-4099,"Rail Transportation Workers, All Other",sibling_imputed,"['53-4011', '53-4013', '53-4022', '53-4031', '53-4041']",0.2688,1
53-6098,"Aircraft Service Attendants and Transportation Workers, All Other",sibling_imputed,"['53-6011', '53-6021', '53-6031', '53-6032', '53-6041', '53-6051', '53-6061']",0.2514,1
53-6099,"Transportation Workers, All Other",sibling_imputed,"['53-6011', '53-6021', '53-6031', '53-6032', '53-6041', '53-6051', '53-6061']",0.2514,1
53-7199,"Material Moving Workers, All Other",sibling_imputed,['53-7121'],0.0714,1
