supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary,aiie_score,aiie_zscore,n_naics
20,Construction,2023,Q1,1,1,1,7933.666666666667,35.82666666666667,8.978870586915498,3.578692495079181,12.55756308199468,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2023,Q2,2,2,1,7975.333333333333,36.25333333333334,8.98410872406274,3.59053133109616,12.5746400551589,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2023,Q3,3,3,1,8037.0,36.79666666666666,8.991811158212718,3.605407261362151,12.597218419574869,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2023,Q4,4,4,1,8089.333333333333,37.16333333333333,8.998301600394079,3.6153226121113695,12.61362421250545,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2024,Q1,1,5,1,8139.666666666667,37.60666666666666,9.00450450811716,3.62718133964372,12.63168584776088,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2024,Q2,2,6,1,8180.666666666667,38.04333333333333,9.009528925868384,3.638725860897399,12.648254786765785,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2024,Q3,3,7,1,8232.666666666666,38.39333333333334,9.015865259009658,3.647883833410417,12.663749092420074,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2024,Q4,4,8,1,8268.333333333334,38.8,9.02018823606704,3.658420246629228,12.678608482696268,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2025,Q1,1,9,1,8268.0,39.14333333333334,9.02014792080166,3.66723012270888,12.68737804351054,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2025,Q2,2,10,1,8269.0,39.48,9.020268861722167,3.675794214565281,12.696063076287448,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2025,Q3,3,11,1,8251.666666666666,39.906666666666666,9.018170479127413,3.686543394316388,12.704713873443804,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2025,Q4,4,12,1,8264.666666666666,40.28333333333333,9.019744678729982,3.6959378184813834,12.715682497211365,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2026,Q1,1,13,1,8308.333333333334,40.72,9.02501430616193,3.7067193722422673,12.731733678404195,3,1,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2026,Q2,2,14,1,8321.0,40.97,9.02653771890043,3.71284009155878,12.73937781045921,1,1,-0.9969999999999999,-1.4044879005988997,10
30,Manufacturing,2017,Q1,1,-23,0,12348.333333333334,26.383333333333336,9.421276380182649,3.2727324976589114,12.69400887784156,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2017,Q2,2,-22,0,12378.0,26.516666666666666,9.423675982299306,3.2777734661156863,12.701449448414992,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2017,Q3,3,-21,0,12422.666666666666,26.626666666666665,9.427278039902204,3.2819132198795047,12.70919125978171,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2017,Q4,4,-20,0,12476.666666666666,26.73,9.431615512230366,3.285786530150828,12.717402042381192,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2018,Q1,1,-19,0,12551.333333333334,26.86,9.437582180616548,3.290638191095092,12.72822037171164,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2018,Q2,2,-18,0,12624.666666666666,26.953333333333333,9.44340785115474,3.294106975544515,12.737514826699256,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2018,Q3,3,-17,0,12691.333333333334,27.040000000000003,9.448674624797624,3.2973172511747637,12.745991875972388,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2018,Q4,4,-16,0,12744.333333333334,27.21666666666667,9.452842007347424,3.3038295307483647,12.756671538095787,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2019,Q1,1,-15,0,12786.666666666666,27.386666666666667,9.456158240329264,3.310056276952193,12.766214517281458,3,0,-0.4842463768115944,-0.7264192696790112,69
