supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary
32,Nondurable goods,2020,Q4,4,-8,0,4605.0,26.486666666666668,8.434897948689407,3.2766414617183433,11.71153941040775,3,0
32,Nondurable goods,2021,Q1,1,-7,0,4629.666666666667,26.703333333333333,8.44024015024811,3.2847884015589157,11.725028551807025,3,0
32,Nondurable goods,2021,Q2,2,-6,0,4644.0,27.083333333333332,8.443331342817782,3.298918532541737,11.74224987535952,3,0
32,Nondurable goods,2021,Q3,3,-5,0,4680.666666666667,27.386666666666667,8.451195828909084,3.310056276952193,11.761252105861278,3,0
32,Nondurable goods,2021,Q4,4,-4,0,4739.333333333333,27.69333333333333,8.463651757821319,3.321191710339802,11.784843468161121,3,0
32,Nondurable goods,2022,Q1,1,-3,0,4789.333333333333,27.99,8.474146501873872,3.331847303527362,11.805993805401233,3,0
32,Nondurable goods,2022,Q2,2,-2,0,4844.666666666667,28.17,8.48563372250847,3.338257581888281,11.823891304396753,3,0
32,Nondurable goods,2022,Q3,3,-1,0,4869.333333333333,28.396666666666665,8.49071231416664,3.3462717673866393,11.836984081553279,3,0
32,Nondurable goods,2022,Q4,4,0,1,4876.333333333333,28.74,8.492148850309976,3.358289880650879,11.850438730960855,3,0
32,Nondurable goods,2023,Q1,1,1,1,4864.333333333333,29.19666666666667,8.489684951999635,3.374054547506888,11.863739499506524,3,0
32,Nondurable goods,2023,Q2,2,2,1,4854.666666666667,29.563333333333333,8.487695720627215,3.386534854720251,11.874230575347466,3,0
32,Nondurable goods,2023,Q3,3,3,1,4837.333333333333,29.97,8.484118883686808,3.4001968813285717,11.88431576501538,3,0
32,Nondurable goods,2023,Q4,4,4,1,4844.0,30.136666666666667,8.485496104672983,3.4057425920811655,11.891238696754149,3,0
32,Nondurable goods,2024,Q1,1,5,1,4847.666666666667,30.233333333333334,8.486252768509601,3.408945068452981,11.895197836962582,3,0
32,Nondurable goods,2024,Q2,2,6,1,4845.0,30.473333333333333,8.485702524324866,3.4168519842354885,11.902554508560355,3,0
32,Nondurable goods,2024,Q3,3,7,1,4841.666666666667,30.766666666666666,8.485014293052002,3.4264318528406967,11.911446145892699,3,0
32,Nondurable goods,2024,Q4,4,8,1,4820.333333333333,30.986666666666668,8.480598360946683,3.4335570044354915,11.914155365382173,3,0
32,Nondurable goods,2025,Q1,1,9,1,4813.0,31.336666666666662,8.47907586930311,3.4447888709223498,11.92386474022546,3,0
32,Nondurable goods,2025,Q2,2,10,1,4806.0,31.623333333333335,8.477620416296414,3.453895244736676,11.93151566103309,3,0
32,Nondurable goods,2025,Q3,3,11,1,4795.0,31.849999999999998,8.475328987317539,3.4610373820181723,11.936366369335712,3,0
32,Nondurable goods,2025,Q4,4,12,1,4790.666666666667,32.343333333333334,8.4744248595653,3.4764079203690983,11.950832779934398,3,0
32,Nondurable goods,2026,Q1,1,13,1,4775.0,32.65,8.471149252914831,3.48584485572244,11.956994108637272,3,1
32,Nondurable goods,2026,Q2,2,14,1,4770.0,32.83,8.470101583882387,3.4913427315135013,11.961444315395887,1,1
40,"Trade, transportation, and utilities",2017,Q1,1,-23,0,27307.666666666668,22.540000000000003,10.214922772028439,3.11529150861163,13.33021428064007,3,0
40,"Trade, transportation, and utilities",2017,Q2,2,-22,0,27309.666666666668,22.64,10.214996008851946,3.119718253334982,13.334714262186928,3,0
40,"Trade, transportation, and utilities",2017,Q3,3,-21,0,27337.666666666668,22.776666666666667,10.21602076159805,3.1257366201245773,13.341757381722628,3,0
40,"Trade, transportation, and utilities",2017,Q4,4,-20,0,27398.0,22.873333333333335,10.218225297011335,3.129971748762194,13.348197045773528,3,0
40,"Trade, transportation, and utilities",2018,Q1,1,-19,0,27445.333333333332,23.006666666666664,10.219951426413362,3.1357840290017474,13.35573545541511,3,0
40,"Trade, transportation, and utilities",2018,Q2,2,-18,0,27541.333333333332,23.186666666666667,10.223443185538205,3.1435774008179727,13.367020586356178,3,0
40,"Trade, transportation, and utilities",2018,Q3,3,-17,0,27574.666666666668,23.403333333333336,10.224652755804458,3.152878462361048,13.377531218165505,3,0
40,"Trade, transportation, and utilities",2018,Q4,4,-16,0,27595.666666666668,23.66333333333333,10.225414034547775,3.163926733383185,13.38934076793096,3,0
40,"Trade, transportation, and utilities",2019,Q1,1,-15,0,27605.333333333332,23.92,10.225764269752409,3.1747149290824312,13.400479198834839,3,0
40,"Trade, transportation, and utilities",2019,Q2,2,-14,0,27634.333333333332,24.106666666666666,10.226814239979028,3.1824884274158114,13.40930266739484,3,0
40,"Trade, transportation, and utilities",2019,Q3,3,-13,0,27663.0,24.313333333333333,10.227851059207252,3.1910248967124244,13.418875955919676,3,0
40,"Trade, transportation, and utilities",2019,Q4,4,-12,0,27711.0,24.486666666666668,10.22958472526072,3.1981287517234116,13.427713476984131,3,0
40,"Trade, transportation, and utilities",2020,Q1,1,-11,0,27724.0,24.709999999999997,10.230053743037875,3.2072080200005186,13.437261763038395,3,0
40,"Trade, transportation, and utilities",2020,Q2,2,-10,0,25167.333333333332,25.3,10.133302136284376,3.2308043957334744,13.36410653201785,3,0
40,"Trade, transportation, and utilities",2020,Q3,3,-9,0,26530.0,25.349999999999998,10.186031447131786,3.232778730037192,13.418810177168977,3,0
40,"Trade, transportation, and utilities",2020,Q4,4,-8,0,27072.333333333332,25.543333333333333,10.206267575174907,3.2403763563142034,13.44664393148911,3,0
