NAICS,Industry Title,AIIE
6211,Offices of Physicians,1.010
6212,Offices of Dentists,0.415
6213,Offices of Other Health Practitioners,0.701
6214,Outpatient Care Centers,0.969
6215,Medical and Diagnostic Laboratories,0.674
6216,Home Health Care Services,0.693
6219,Other Ambulatory Health Care Services,0.787
6221,General Medical and Surgical Hospitals,0.527
6222,Psychiatric and Substance Abuse Hospitals,0.521
6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,0.590
6231,Nursing Care Facilities (Skilled Nursing Facilities),-0.243
6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",0.857
6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,-0.484
6239,Other Residential Care Facilities,0.719
6241,Individual and Family Services,1.163
6242,"Community Food and Housing, and Emergency and Other Relief Services",0.851
6243,Vocational Rehabilitation Services,0.286
6244,Child Day Care Services,0.057
7111,Performing Arts Companies,0.168
7112,Spectator Sports,-0.258
7113,"Promoters of Performing Arts, Sports, and Similar Events",-0.193
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",1.911
7115,"Independent Artists, Writers, and Performers",0.609
7121,"Museums, Historical Sites, and Similar Institutions",0.381
7131,Amusement Parks and Arcades,-0.534
7132,Gambling Industries,-0.136
7139,Other Amusement and Recreation Industries,-1.085
7211,Traveler Accommodation,-0.903
7212,RV (Recreational Vehicle) Parks and Recreational Camps,-0.405
7213,Rooming and Boarding Houses,-1.051
7223,Special Food Services,-1.061
7224,Drinking Places (Alcoholic Beverages),-0.999
7225,Restaurants and Other Eating Places,-1.172
8111,Automotive Repair and Maintenance,-1.094
8112,Electronic and Precision Equipment Repair and Maintenance,0.107
8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,-0.780
8114,Personal and Household Goods Repair and Maintenance,-0.746
8121,Personal Care Services,-0.475
8122,Death Care Services,-0.316
8123,Drycleaning and Laundry Services,-1.148
8129,Other Personal Services,-0.770
8131,Religious Organizations,0.966
8132,Grantmaking and Giving Services,1.721
8133,Social Advocacy Organizations,1.194
8134,Civic and Social Organizations,-0.351
8139,"Business, Professional, Labor, Political, and Similar Organizations",1.360
9991,Federal Executive Branch (OES Designation),1.077
9992,"State Government, excluding schools and hospitals (OES Designation)",0.748
9993,"Local Government, excluding schools and hospitals (OES Designation)",-0.014
